Sample number,AT,GC,704,400,1500,ATMi0,ATMi1,ATMi2,ATMi3,ATMi4
1,-0.6244020426512975,1.07291492440811,0.4239871813143168,0.12288794472254949,-1.03554100461713,-0.49402914736702996,-0.1271779120430665,0.2820405004143822,-0.19110875554662243,-0.7857215711892991
2,-0.8134296795396949,1.137523082917994,0.35088311917240844,-0.15210776635458956,-1.1970302947181608,0.5346741929544692,-0.13003977146655643,-0.06600902902545158,-0.012372729129822346,-0.23516684673961663
3,-0.6629069755629757,1.0250786970615877,0.22841845950904371,-0.14431735011098112,-0.3974756679683651,0.006772147529204631,-0.07564288207123582,-0.35655994114443956,-1.171735216555021,-0.4941937329372763
Average,-0.700246232584656,1.0785055681292306,0.3344295866652563,-0.0578457239143404,-0.876682322434552,0.015805731038881277,-0.11095352186028624,-0.04684282325183631,-0.45840556707715524,-0.505027383622064
