Compared Sample,704* - S1,704* - S2,704* - S3,AT* - S1,AT* - S2,AT* - S3,GC* - S1,GC* - S2,GC* - S3,400* - S1,400* - S2,400* - S3,1500* - S1,1500* - S2,1500* - S3,ATMi0 - S1,ATMi0 - S2,ATMi0 - S3,ATMi1 - S1,ATMi1 - S2,ATMi1 - S3,ATMi2 - S1,ATMi2 - S2,ATMi2 - S3,ATMi3 - S1,ATMi3 - S2,ATMi3 - S3,ATMi4 - S1,ATMi4 - S2,ATMi4 - S3
400* - S2,7.250317566162618e-05,1.535637728303797e-10,2.868554321987688e-24,5.939230633460605e-10,0.002166160231431592,1.2910988623266989e-10,3.906137103002957e-44,3.5524794390116878e-127,4.0248880821616136e-94,3.8547072970988634e-12,1.0,0.0025923685675179066,1.2399196745354285e-22,9.306978552655339e-57,2.512604717411281e-110,0.0,2.7897832043522983e-65,2.40606e-318,0.0,0.0,0.0,2.727739957276832e-144,6.092253987835141e-174,2.420931202706485e-292,5.241318146536366e-71,5.028689254326094e-58,1.3221257569063498e-275,5.07671364e-316,6.799746406905852e-155,0.0
400* - S3,6.345039139025719e-17,4.157998675729263e-05,8.546891668366977e-40,0.0001359946845874744,0.9444598380157205,3.29840303909349e-05,3.848442207448057e-93,1.358049363216743e-254,3.886541690606804e-186,2.2718472610072035e-33,0.0025923685675179066,1.0,3.9658814545378556e-20,1.1743096770682966e-51,4.946203840617732e-108,0.0,1.3194101064805322e-98,0.0,0.0,0.0,0.0,1.1969923797590274e-208,3.926629867794437e-255,0.0,4.630177868582955e-114,2.110645756027057e-87,0.0,0.0,4.222574258146177e-213,0.0
1500* - S1,7.612716782034082e-31,3.539550337099683e-17,3.078637383794682e-45,2.3516281392719743e-16,5.594544034513445e-19,5.855686752901808e-16,2.8095289551017846e-40,1.3098338998272863e-58,9.843605141891423e-54,1.97977364356029e-34,1.2399196745354285e-22,3.9658814545378556e-20,1.0,0.32986379028661883,0.1331405062199431,8.192879152464182e-128,6.716025871099963e-52,9.131299943358777e-89,1.6621971768760347e-122,5.8051744948815864e-114,2.1980014524036695e-101,6.700178536638653e-89,1.4674646092484693e-93,3.2101326624396596e-104,4.949218065416886e-62,5.1297183324028325e-62,7.733819015897461e-99,2.5214954344951448e-110,1.1707350812933634e-102,1.2998224182477515e-120
1500* - S2,1.0814466782648347e-82,2.996319589261289e-42,1.2894682235031445e-106,5.779956321865149e-42,1.0753591591075508e-49,1.2219815548867401e-40,5.0521144799493125e-115,1.0532689642124224e-175,6.1532551643808295e-158,1.7792396164115017e-94,9.306978552655339e-57,1.1743096770682966e-51,0.32986379028661883,1.0,0.44547392938203656,0.0,1.623852286291999e-133,3.672120576484286e-272,0.0,0.0,1.407903953e-314,1.1268483576732196e-231,8.05289786655239e-251,4.703299867732049e-307,2.0912277758910417e-163,4.226969479748037e-152,1.6562986500515764e-295,0.0,1.9845204253027093e-254,0.0
1500* - S3,6.788689439999337e-173,1.1737216314668887e-85,1.1464609371642782e-176,3.378828256369002e-92,1.4246850336290531e-108,1.8368183586333768e-88,1.947008720869821e-252,0.0,0.0,2.0418509729787578e-201,2.512604717411281e-110,4.946203840617732e-108,0.1331405062199431,0.44547392938203656,1.0,0.0,2.4395713269377278e-241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.893896694489201e-305,1.2835820079345275e-259,0.0,0.0,0.0,0.0
ATMi0 - S1,0.0,0.0,8.130460135878264e-134,0.0,0.0,0.0,0.0,2.1304895422216458e-269,9.182993482225567e-290,0.0,0.0,0.0,8.192879152464182e-128,0.0,0.0,1.0,2.755567031737199e-62,3.697943773200893e-37,1.942113488243222e-17,3.153629795415264e-14,3.370140584755515e-86,2.4300185270043524e-38,6.820075761838194e-35,1.0765707267376168e-48,1.145563052735176e-134,8.949346462478168e-90,2.0720735866905796e-98,7.882399281912507e-37,3.468726907811108e-19,5.920947511104702e-37
ATMi0 - S2,3.0113308448752005e-59,2.2195480007628164e-124,3.1924752594301173e-09,3.928476600109864e-125,1.2951225280632974e-99,4.4799101805731904e-125,1.5618928823862797e-14,0.02938892329674149,6.869431465184108e-05,8.368819271263112e-45,2.7897832043522983e-65,1.3194101064805322e-98,6.716025871099963e-52,1.623852286291999e-133,2.4395713269377278e-241,2.755567031737199e-62,1.0,1.084292203008071e-18,8.629263810123022e-44,5.811808996051615e-36,1.2226997727726476e-14,5.590440793373059e-06,1.171458517329285e-08,6.631101554458277e-15,0.009895509856752447,0.06567800998388185,5.7148864293273426e-08,3.587062345904058e-19,9.50907565249235e-11,1.412061260160162e-20
ATMi0 - S3,0.0,0.0,2.988883809560296e-60,0.0,0.0,0.0,1.38354605734982e-165,4.698272803179139e-93,1.5802861653667748e-111,3.06e-322,2.40606e-318,0.0,9.131299943358777e-89,3.672120576484286e-272,0.0,3.697943773200893e-37,1.084292203008071e-18,1.0,1.47471015470155e-12,7.060956361517141e-08,1.751569879440454e-05,2.9604368881684198e-05,0.002128630425534761,0.0176998150021491,8.83329866673516e-49,1.4189616853274315e-31,3.9554404125574466e-13,0.5771685397680872,0.2800804592349033,0.6567792823015428
ATMi1 - S1,0.0,0.0,3.138670687169e-110,0.0,0.0,0.0,0.0,1.8087002452856345e-248,4.066104264843432e-269,0.0,0.0,0.0,1.6621971768760347e-122,0.0,0.0,1.942113488243222e-17,8.629263810123022e-44,1.47471015470155e-12,1.0,0.5460307019612789,2.169934209681616e-45,7.023229325981032e-20,2.7146908368452747e-16,9.915058465470119e-21,1.1366332447117783e-104,1.5211145806041637e-66,8.654053870032148e-59,1.346912381860676e-12,2.6473509077454387e-07,2.9078257755139354e-12
ATMi1 - S2,0.0,0.0,4.033569321482278e-94,0.0,0.0,0.0,3.156855888272473e-248,4.7101727357392305e-160,3.108765942377168e-182,0.0,0.0,0.0,5.8051744948815864e-114,0.0,0.0,3.153629795415264e-14,5.811808996051615e-36,7.060956361517141e-08,0.5460307019612789,1.0,2.129621972861062e-27,5.41962152352821e-16,8.556474743788914e-13,1.6940936349600024e-14,1.0932947220844494e-84,5.165876804032388e-56,2.7339888671737893e-40,9.613592838689815e-09,6.45125047269847e-06,1.3065454216119539e-08
