Fragment length, Fraction of reads
1,1.1044232149759788e-05
2,1.1044232149759788e-05
5,2.2088464299519576e-05
7,1.1044232149759788e-05
8,1.1044232149759788e-05
62,1.1044232149759788e-05
66,2.2088464299519576e-05
70,1.1044232149759788e-05
73,1.1044232149759788e-05
74,1.1044232149759788e-05
75,1.1044232149759788e-05
76,1.1044232149759788e-05
77,2.2088464299519576e-05
79,1.1044232149759788e-05
90,1.1044232149759788e-05
93,1.1044232149759788e-05
98,2.2088464299519576e-05
99,3.3132696449279365e-05
102,1.1044232149759788e-05
103,1.1044232149759788e-05
107,2.2088464299519576e-05
108,1.1044232149759788e-05
109,1.1044232149759788e-05
110,2.2088464299519576e-05
111,2.2088464299519576e-05
112,3.3132696449279365e-05
113,2.2088464299519576e-05
114,1.1044232149759788e-05
116,2.2088464299519576e-05
117,3.3132696449279365e-05
118,2.2088464299519576e-05
119,2.2088464299519576e-05
121,1.1044232149759788e-05
122,3.3132696449279365e-05
123,3.3132696449279365e-05
125,1.1044232149759788e-05
126,1.1044232149759788e-05
127,1.1044232149759788e-05
128,3.3132696449279365e-05
129,4.417692859903915e-05
130,4.417692859903915e-05
131,3.3132696449279365e-05
133,3.3132696449279365e-05
134,1.1044232149759788e-05
135,4.417692859903915e-05
136,2.2088464299519576e-05
137,1.1044232149759788e-05
138,5.522116074879894e-05
139,6.626539289855873e-05
140,3.3132696449279365e-05
141,3.3132696449279365e-05
142,6.626539289855873e-05
143,2.2088464299519576e-05
145,1.1044232149759788e-05
146,3.3132696449279365e-05
147,6.626539289855873e-05
148,7.730962504831851e-05
149,4.417692859903915e-05
150,1.1044232149759788e-05
151,6.626539289855873e-05
152,2.2088464299519576e-05
153,4.417692859903915e-05
154,9.939808934783809e-05
155,8.83538571980783e-05
156,4.417692859903915e-05
157,0.00015461925009663702
158,5.522116074879894e-05
159,5.522116074879894e-05
160,9.939808934783809e-05
161,1.1044232149759788e-05
162,8.83538571980783e-05
163,4.417692859903915e-05
164,6.626539289855873e-05
165,0.00011044232149759788
166,6.626539289855873e-05
167,9.939808934783809e-05
168,0.00019879617869567617
169,5.522116074879894e-05
170,0.0001877519465459164
171,0.00016566348224639682
