Compared Sample,704* - S1,704* - S2,704* - S3,AT* - S1,AT* - S2,AT* - S3,GC* - S1,GC* - S2,GC* - S3,400* - S1,400* - S2,400* - S3,1500* - S1,1500* - S2,1500* - S3,ATMi0 - S1,ATMi0 - S2,ATMi0 - S3,ATMi1 - S1,ATMi1 - S2,ATMi1 - S3,ATMi2 - S1,ATMi2 - S2,ATMi2 - S3,ATMi3 - S1,ATMi3 - S2,ATMi3 - S3,ATMi4 - S1,ATMi4 - S2,ATMi4 - S3
400* - S2,1.6805429999318688e-19,2.327200472202335e-15,6.34335671258755e-16,3.448469372961337e-21,1.0546024075262096e-20,3.083248128155373e-14,9.802278228864859e-121,2.1194333488777793e-198,1.1966672029562352e-149,0.28975634769208897,1.0,0.013545674119956599,0.007376570551573877,1.634113717259005e-05,0.47024930685087984,1.6534997092772176e-33,1.9476650601997595e-24,1.0372578851578336e-07,5.344393194313559e-12,2.3932981134102292e-27,4.1885720131978606e-32,7.951001128442981e-72,3.4979175546761453e-57,3.2169978268725544e-20,6.301005741095426e-33,1.3171887416003757e-45,0.00017734739633734706,6.638458897451013e-05,7.168473884500858e-22,7.775674593380779e-19
400* - S3,2.484644734804133e-43,5.349719883534652e-35,4.277129012090437e-27,1.5965383219090124e-17,8.725763853729885e-17,6.861489789198405e-10,6.239861162013897e-215,0.0,4.271953352476084e-277,1.628816717214988e-05,0.013545674119956599,1.0,0.03125249523808588,0.0007154343867138451,0.3775950207684735,8.999152219741551e-33,5.748918595519034e-40,4.3515107250997475e-24,2.2366537686796387e-38,5.810429044900503e-67,6.369512137630394e-81,7.998065631628094e-117,5.303568823902413e-99,1.059513063893101e-48,6.2881316413645225e-59,1.5656159567468764e-71,0.18780884138645268,2.4867960033903295e-16,4.008675236766327e-40,3.0150841309201962e-46
1500* - S1,2.7118454051650654e-06,7.779252795605647e-06,4.696768924735257e-07,0.4229951165483984,0.44937012196725956,0.24905933989239007,1.0447364967653371e-14,3.9233524145565336e-18,7.536534240712818e-16,0.003369274567338032,0.007376570551573877,0.03125249523808588,1.0,0.7307427446113601,0.018367645607536155,0.7447479087761083,2.3218952161802922e-08,0.00015422507709580814,5.880716832876975e-05,1.1650428046185752e-06,6.359136017449096e-07,1.203389093319427e-12,9.395005320868414e-11,3.8637697707211965e-06,1.7323629557607058e-08,5.909398530112278e-11,0.05105069667797275,0.00040515553801834004,2.7425217194251394e-07,5.619754924864747e-06
1500* - S2,1.7507150958985808e-16,6.148013602610307e-15,2.4802013268073717e-17,0.42106935234658016,0.47384272887793855,0.13842405259210766,3.483635742346936e-45,3.748557822719409e-58,1.1081808406465714e-49,1.0630134099004152e-06,1.634113717259005e-05,0.0007154343867138451,0.7307427446113601,1.0,0.0004843890762046615,0.9080020089278168,1.6647470184982926e-21,4.962115766828434e-11,1.5052902938436238e-12,4.238167395956164e-18,4.1553414441801983e-19,1.0591390820047687e-36,8.841071979978245e-31,3.352400687028133e-16,4.920057065941152e-23,4.535084576409152e-30,0.002476625182069966,1.2591178210174064e-09,5.8461640959781e-19,1.127121761461837e-15
1500* - S3,8.733545361648094e-12,9.277903146701193e-10,3.750215841530237e-12,2.1800173395331137e-07,1.573357296896686e-07,4.958062428421284e-05,1.3443282853696827e-59,2.4834438834656808e-87,2.1602134417676819e-69,0.13926693220719355,0.47024930685087984,0.3775950207684735,0.018367645607536155,0.0004843890762046615,1.0,1.707664613798932e-11,1.7038019786168584e-17,2.9230298444925694e-05,5.25945978575457e-07,2.5222361136206364e-14,6.311451626632914e-16,7.893591971011965e-42,1.0618165380225106e-32,1.5062935056721192e-11,1.855792246410345e-20,6.530725804909201e-30,0.11402523891230261,0.0007496157678109608,1.2642018981494438e-14,7.493453794194758e-11
ATMi0 - S1,6.320840281263623e-176,1.3741922991616845e-149,2.23372600373534e-76,0.00010851618189407119,0.0013153218847294687,9.812774597360643e-11,0.0,0.0,0.0,2.583237939668778e-68,1.6534997092772176e-33,8.999152219741551e-33,0.7447479087761083,0.9080020089278168,1.707664613798932e-11,1.0,2.3779174225014427e-102,1.0086248797778906e-170,1.5678954437370368e-296,0.0,0.0,7.791268426034439e-267,3.728451040688519e-253,1.3438658211004064e-224,1.3835135876804314e-166,2.370837455385906e-162,4.660952515645983e-39,1.8947057840624555e-126,9.483248327198559e-122,1.522448913414025e-220
ATMi0 - S2,0.00017252698188756298,6.085986028514158e-06,0.10419753570949757,1.714480009828574e-83,2.2077118663686575e-81,4.051361724508036e-71,3.2116511913727436e-15,9.762232258556573e-34,5.8399744580781105e-21,1.4883443006487658e-25,1.9476650601997595e-24,5.748918595519034e-40,2.3218952161802922e-08,1.6647470184982926e-21,1.7038019786168584e-17,2.3779174225014427e-102,1.0,1.6307642544317717e-14,1.2625169493464855e-12,0.0005714659841817944,0.0022348142258820677,3.265276211592634e-07,0.0034189697725412684,2.059666541776008e-05,0.9631273013188207,0.0023411988917898213,5.977771815751728e-50,2.5362184171321247e-17,0.09158742205103987,4.673206980963757e-06
ATMi0 - S3,7.297641049044945e-09,1.7302281941112565e-05,1.3491559524978607e-07,1.4797387136524027e-114,8.312539678313421e-101,1.087704868240336e-83,3.422753306465648e-147,0.0,6.627365148093968e-209,6.532635283204154e-08,1.0372578851578336e-07,4.3515107250997475e-24,0.00015422507709580814,4.962115766828434e-11,2.9230298444925694e-05,1.0086248797778906e-170,1.6307642544317717e-14,1.0,0.04175464480397087,1.9716533481908806e-17,1.2685731489384567e-24,4.349155560231594e-66,8.606377028935257e-50,2.383133606162142e-09,3.8918689482168155e-22,5.881337490008995e-35,1.013028197057792e-43,0.0853463033464267,1.1916734121357732e-11,4.991118939834586e-08
ATMi1 - S1,7.94386533288733e-07,0.0010096876881370528,4.094308475612052e-06,1.0852682271720638e-191,1.3994644996389813e-157,5.025522088115591e-138,1.1996033056599598e-167,0.0,6.902112765835602e-256,9.739514174943867e-15,5.344393194313559e-12,2.2366537686796387e-38,5.880716832876975e-05,1.5052902938436238e-12,5.25945978575457e-07,1.5678954437370368e-296,1.2625169493464855e-12,0.04175464480397087,1.0,1.6962254742933046e-16,9.765418258865936e-27,1.3925488338189595e-66,1.1358119292387462e-49,2.883007429848439e-07,3.730830552732877e-20,4.661591422136921e-33,5.178705981392509e-78,0.0001148056103527733,1.0430370106516097e-09,6.055516714366584e-06
ATMi1 - S2,0.3444595625777983,0.023081216720193583,0.23590557365196335,4.610223836490084e-227,7.37997836983249e-196,2.4800585092153045e-176,3.2396591055171996e-84,4.51051833076873e-212,4.212302172306263e-127,1.0795781366413301e-36,2.3932981134102292e-27,5.810429044900503e-67,1.1650428046185752e-06,4.238167395956164e-18,2.5222361136206364e-14,0.0,0.0005714659841817944,1.9716533481908806e-17,1.6962254742933046e-16,1.0,0.3085424743072072,3.962049422110801e-33,2.4401121991360945e-20,0.08505509019117118,1.5058752507925852e-05,3.757917300222518e-15,1.232001450395127e-115,4.494813424430889e-22,0.08991231265554969,0.02005420192662317
